0 NULL 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1	一包辣条	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
2	J国12厘米单装炮	1	1	1	0	0	0	0	0	0	0	0	0	0.2	0	0
3	J国12.7厘米单装炮	1	1	1	0	0	0	1	0	0	0	0	0	0.2	0	0
4	J国12.7厘米连装炮	1	1	2	0	0	0	2	0	0	0	0	0	0.2	0	0
5	G国单装127毫米炮	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0
6	G国单装150毫米炮	1	1	2	0	0	0	0	0	2	0	0	0	0	0	0
7	G国双联150毫米炮	1	1	3	0	0	0	0	0	2	0	0	0	0	0	0
8	E国双联4英寸炮	1	1	1	0	0	0	3	0	0	0	0	0	0.2	0	0
9	E国双联4.7英寸炮	1	1	2	0	0	0	3	0	0	0	0	0	0.2	0	0
10	U国双联5英寸平高两用炮	1	1	2	0	0	0	5	0	0	0	0	0	0.2	0	0
11	U国单装5英寸炮	1	1	1	0	0	0	3	0	0	0	0	0	0.2	0	0
12	F国单装138毫米炮	1	1	2	0	0	0	0	0	1	0	0	0	0	0	0
13	S国单装130毫米炮	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0
14	J国14厘米单装炮	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0
15	J国15.2厘米连装炮	1	2	4	0	0	0	3	0	1	0	0	0	0.2	0	0
16	J国20.3厘米连装炮	1	2	7	0	0	0	3	0	1	0	0	0	0.2	0	0
17	G国三联150毫米炮	1	2	5	0	0	0	0	0	2	0	0	0	0	0	0
18	G国双联203毫米炮	1	2	7	0	0	0	0	0	3	0	0	0	0	0	0
19	E国双联5.25英寸炮	1	2	3	0	0	0	5	0	0	0	0	0	0.2	0	0
20	E国双联6英寸炮	1	2	5	0	0	0	1	0	0	0	0	0	0.2	0	0
21	U国三联6英寸炮	1	2	6	0	0	0	0	0	1	0	0	0	0	0	0
22	U国三联8英寸炮	1	2	8	0	0	0	0	0	2	0	0	0	0	0	0
23	C国双联140毫米炮	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0
24	J国35.6厘米连装炮	1	3	15	0	0	0	4	0	0	0	0	0	0.2	0	0
25	J国41厘米连装炮	1	3	20	0	0	0	6	0	0	0	0	0	0.2	0	0
26	J国46厘米三连装炮	1	4	30	0	0	0	8	0	0	0	0	0	0.25	0	0
27	G国三联283毫米炮	1	3	11	0	0	0	0	0	3	0	0	0	0	0	0
28	G国双联380毫米炮	1	3	18	0	0	0	0	0	4	0	0	0	0	0	0
29	G国双联406毫米炮	1	4	21	0	0	0	0	0	6	0	0	0	0	0	0
30	E国双联15英寸炮	1	3	17	0	0	0	0	0	1	0	0	0	0	0	0
31	E国三联16英寸炮	1	3	23	0	0	0	0	0	0	0	0	0	0	0	0
32	E国四联14英寸炮	1	3	19	0	0	0	0	0	1	0	0	0	0	0	0
33	U国三联12英寸炮	1	3	14	0	0	0	5	0	2	0	0	0	0.2	0	0
34	U国三联14英寸炮	1	3	16	0	0	0	0	0	0	0	0	0	0	0	0
35	U国三联16英寸炮(MK6)	1	3	24	0	0	0	0	0	2	0	0	0	0	0	0
36	U国三联16英寸炮(MK7)	1	4	27	0	0	0	0	0	3	0	0	0	0	0	0
37	I国三联305毫米炮	1	3	12	0	0	0	0	0	3	0	0	0	0	0	0
38	J国15.2厘米单装炮	1	2	2	0	0	0	1	0	1	0	0	0	0	0	0
