1	胡德	1	75	31	3	4	93	0	80	70	57	0	38	5	100	100	12	3	3	3	3
2	扶桑	1	67	25	3	4	94	0	79	53	39	0	34	5	100	100	12	3	3	3	3
3	山城	1	67	25	3	4	94	0	79	53	39	0	34	5	100	100	12	3	3	3	3
4	伊势	1	74	24.5	3	4	89	0	82	58	42	0	35	15	100	100	12	3	3	3	3
5	日向	1	74	24.5	3	4	94	0	82	58	42	0	35	15	100	100	12	3	3	3	3
6	俾斯麦	1	90	30	3	4	92	0	100	55	46	0	41	15	100	100	16	4	4	4	4
7	提尔比茨	1	91	30.8	3	4	92	0	100	55	46	0	41	16	100	100	16	4	4	4	4
8	纳尔逊	1	72	23.5	3	4	104	0	92	72	39	0	37	20	100	100	0	0	0	0	0
9	罗德尼	1	72	23.5	3	4	104	0	92	72	39	0	37	20	100	100	0	0	0	0	0
10	威尔士亲王	1	74	29	3	4	95	0	95	82	46	0	40	10	100	100	16	4	4	4	4
11	内华达	1	64	21	3	4	85	0	88	63	35	0	35	25	100	100	12	3	3	3	3
12	俄克拉荷马	1	64	21	3	4	85	0	88	63	35	0	35	10	100	100	12	3	3	3	3
13	安德烈亚·多利亚	1	54	22	3	4	79	0	79	48	42	0	35	20	100	100	12	3	3	3	3
14	金刚	1	63	30.3	3	4	89	0	70	54	60	0	38	15	100	100	12	3	3	3	3
15	比睿	1	63	30.3	3	4	89	0	67	56	60	0	38	10	100	100	12	3	3	3	3
17	雾岛	1	63	30.3	3	4	89	0	70	54	60	0	38	9	100	100	12	3	3	3	3
18	声望	1	65	31.5	3	4	83	0	71	82	60	0	39	25	100	100	16	4	4	4	4
19	反击	1	65	31.5	3	4	83	0	71	70	60	0	39	12	100	100	16	4	4	4	4
20	阿拉斯加	1	58	33	3	4	85	0	69	100	61	0	43	15	100	100	16	4	4	4	4
21	关岛	1	58	33	3	4	85	0	69	100	61	0	43	15	100	100	16	4	4	4	4
22	赤城	1	69	31.2	1	4	40	0	55	62	48	0	69	12	100	100	73	18	18	19	18
23	加贺	1	71	28	1	4	40	0	62	58	47	0	65	10	100	100	93	23	23	24	23
24	祥凤	1	32	29	1	4	20	0	39	48	48	0	59	10	100	100	30	7	7	9	7
25	瑞凤	1	32	29	1	4	20	0	39	48	49	0	59	30	100	100	30	7	7	9	7
26	百眼巨人	1	23	20.7	1	4	15	0	26	40	36	0	55	20	100	100	20	5	5	5	5
27	兰利	1	24	15	1	4	15	0	26	40	31	0	57	20	100	100	30	7	7	9	7
